2019-01-26 12:35:35,975 | WARN  | Transport Connection to: tcp://128.252.20.193:51574 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:51574@1883
2019-01-26 12:36:05,522 | WARN  | Stealing link for clientId mqttClient From Connection Transport Connection to: tcp://128.252.20.193:52664 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///128.252.20.193:58518@1883
2019-01-26 12:41:05,272 | WARN  | Transport Connection to: tcp://128.252.20.193:58518 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:58518@1883
2019-01-26 12:42:19,397 | WARN  | Transport Connection to: tcp://128.252.20.193:37312 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:37312@1883
2019-01-26 12:44:08,631 | WARN  | Stealing link for clientId mqttClient From Connection Transport Connection to: tcp://128.252.20.193:54574 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///128.252.20.193:56042@1883
2019-01-26 12:45:38,631 | WARN  | Transport Connection to: tcp://128.252.20.193:56042 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://128.252.20.193:56042 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@309eba14[State = -1, empty queue]
2019-01-26 12:57:35,662 | WARN  | Transport Connection to: tcp://128.252.20.193:49144 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://128.252.20.193:49144 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@1b71cfd6[State = -1, empty queue]
2019-01-26 12:58:52,287 | WARN  | Transport Connection to: tcp://128.252.20.193:43892 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://128.252.20.193:43892 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@52bacb96[State = -1, empty queue]
2019-01-26 13:04:57,506 | WARN  | Transport Connection to: tcp://128.252.20.193:35502 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:35502@1883
2019-01-26 13:05:41,990 | WARN  | Transport Connection to: tcp://128.252.20.193:38848 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:38848@1883
2019-01-26 13:06:28,318 | WARN  | Transport Connection to: tcp://128.252.20.193:33476 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>60000) long: tcp://128.252.20.193:33476 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@3b1c9431[State = -1, empty queue]
2019-01-26 13:06:49,615 | WARN  | Transport Connection to: tcp://128.252.20.193:50722 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:50722@1883
2019-01-26 13:07:13,272 | WARN  | Transport Connection to: tcp://128.252.20.193:40470 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:40470@1883
2019-01-26 13:07:57,100 | WARN  | Transport Connection to: tcp://128.252.20.193:39496 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:39496@1883
2019-01-26 13:21:09,897 | WARN  | Transport Connection to: tcp://128.252.20.193:47618 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:47618@1883
2019-01-26 13:24:09,756 | WARN  | Transport Connection to: tcp://128.252.20.193:64528 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:64528@1883
2019-01-26 13:26:18,803 | WARN  | Transport Connection to: tcp://128.252.20.193:39616 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://128.252.20.193:39616 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@6af9a7f0[State = -1, empty queue]
2019-01-26 13:28:39,443 | WARN  | Stealing link for clientId mqttClient From Connection Transport Connection to: tcp://128.252.20.193:37806 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///128.252.20.193:40184@1883
2019-01-26 13:29:54,443 | WARN  | Transport Connection to: tcp://128.252.20.193:40184 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://128.252.20.193:40184 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@26a1b8da[State = -1, empty queue]
2019-01-26 13:38:30,568 | WARN  | Stealing link for clientId mqttClient From Connection Transport Connection to: tcp://128.252.20.193:37354 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///128.252.20.193:51044@1883
2019-01-26 13:39:36,584 | WARN  | Stealing link for clientId mqttClient From Connection Transport Connection to: tcp://128.252.20.193:51044 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///128.252.20.193:48322@1883
2019-01-26 13:40:51,584 | WARN  | Transport Connection to: tcp://128.252.20.193:48322 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://128.252.20.193:48322 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@437be580[State = -1, empty queue]
2019-01-26 13:48:45,459 | WARN  | Transport Connection to: tcp://128.252.20.193:49704 failed: org.apache.activemq.transport.InactivityIOException: Channel was inactive for too (>30000) long: tcp://128.252.20.193:49704 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@7ef039e2[State = -1, empty queue]
2019-01-26 13:49:56,615 | WARN  | Transport Connection to: tcp://128.252.20.193:48606 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:48606@1883
2019-01-26 13:59:56,725 | WARN  | Transport Connection to: tcp://128.252.20.193:47634 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:47634@1883
2019-01-26 14:00:29,193 | WARN  | Transport Connection to: tcp://128.252.20.193:50280 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:50280@1883
2019-01-26 14:01:02,022 | WARN  | Transport Connection to: tcp://128.252.20.193:51132 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:51132@1883
2019-01-26 14:01:34,834 | WARN  | Transport Connection to: tcp://128.252.20.193:37842 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:37842@1883
2019-01-26 14:02:07,834 | WARN  | Transport Connection to: tcp://128.252.20.193:48532 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:48532@1883
2019-01-26 14:02:40,568 | WARN  | Transport Connection to: tcp://128.252.20.193:53832 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:53832@1883
2019-01-26 14:03:13,928 | WARN  | Transport Connection to: tcp://128.252.20.193:50670 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:50670@1883
